scoring_name,entity_id,fraud_scenario,target_fraud_flag,hybrid_action,hybrid_risk_band,rule_score,rule_risk_band,ml_score
login_score,E00082370,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9996189
login_score,E00031827,repeated_attempts_before_success,1,block_or_manual_review,critical,12,critical,0.9994923
login_score,E00052538,repeated_attempts_before_success,1,block_or_manual_review,critical,13,critical,0.9994629
login_score,E00074817,repeated_attempts_before_success,1,block_or_manual_review,critical,13,critical,0.9994555
login_score,E00039146,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.99939334
login_score,E00025045,repeated_attempts_before_success,1,block_or_manual_review,critical,13,critical,0.9993736
login_score,E00120969,repeated_attempts_before_success,1,block_or_manual_review,critical,13,critical,0.999368
login_score,E00083350,repeated_attempts_before_success,1,block_or_manual_review,critical,8,critical,0.99936754
login_score,E00095401,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.99936694
login_score,E00089039,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9993649
login_score,E00122739,repeated_attempts_before_success,1,block_or_manual_review,critical,8,critical,0.9993648
login_score,E00037158,repeated_attempts_before_success,1,block_or_manual_review,critical,7,critical,0.99936086
login_score,E00073023,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.9993593
login_score,E00152808,repeated_attempts_before_success,1,block_or_manual_review,critical,13,critical,0.9993562
login_score,E00139496,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9993513
login_score,E00076573,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.9993486
login_score,E00099144,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.9993444
login_score,E00093874,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9993376
login_score,E00058024,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.9993364
login_score,E00080563,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.99933547
login_score,E00069775,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9993349
login_score,E00088855,repeated_attempts_before_success,1,block_or_manual_review,critical,12,critical,0.99933356
login_score,E00120408,repeated_attempts_before_success,1,block_or_manual_review,critical,15,critical,0.99933165
login_score,E00152248,repeated_attempts_before_success,1,block_or_manual_review,critical,10,critical,0.9993261
login_score,E00087124,repeated_attempts_before_success,1,block_or_manual_review,critical,8,critical,0.99932504
